"Dataset","GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display","Numeric","Low","High","Comments"
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","BRB","MLE","71","71.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","BRB","MLE","72","72.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","BRB","MLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","BRB","FMLE","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","BRB","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","BRB","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","BRB","BTSX","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","BRB","BTSX","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","BRB","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","WPR","WB_HI","BRN","MLE","71","71.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","BRN","MLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","WPR","WB_HI","BRN","MLE","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","WPR","WB_HI","BRN","FMLE","75","75.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","BRN","FMLE","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","WPR","WB_HI","BRN","FMLE","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","WPR","WB_HI","BRN","BTSX","73","73.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","BRN","BTSX","76","76.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","WPR","WB_HI","BRN","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","CAN","MLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","CAN","MLE","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","CAN","MLE","80","80.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","CAN","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","CAN","FMLE","82","82.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","CAN","FMLE","84","84.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","CAN","BTSX","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","CAN","BTSX","79","79.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","CAN","BTSX","82","82.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CHE","MLE","74","74.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CHE","MLE","77","77.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CHE","MLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CHE","FMLE","81","81.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CHE","FMLE","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CHE","FMLE","85","85.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","CHE","BTSX","78","78.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","CHE","BTSX","80","80.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","CHE","BTSX","83","83.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","1990","WPR","WB_HI","COK","MLE","67","67.00000",,,
"CYCU","WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","COK","MLE","69","69.00000",,,
